COURSE_CODE,COURSE_TITLE,MODULES_TITLE,MODULE_CODE,url video,Quiz_code,Code_Question ,Quiz,option 1,answer,option 2,answer,option 4,answer,option5,answer,option6,answer,option7,answer,option8,answer,,,,,,
FMPS_C001,التواصل المهني ,التعرف على مهارات التواصل المهني,FMPS_C001_V03,https://drive.google.com/file/d/1Vvem-xoB9SpYlAevSYogOEEN0gwzFk4Y/view?usp=drive_link,FMPS_C001_QV03,FMPS_C001_QV03_Q_1,"من بين العبارات التالية، حدد تلك التي تبدو لك صحيحة: 
 

",المقابلات الشخصية والمكالمات الهاتفية تندرج ضمن:,false ,الوسائل الكتابية,true ,الوسائل الشفهية,true ,,,,,,,,,,,,,,
,,,,,,FMPS_C001_QV04_Q_2," أجب بصحيح أو خطأ على العبارة الموالية:
الوسائل الكتابية تعتمد على لغة الجسد في تبادل المعلومات بين المتصل والمتصل به.",خطأ,false ,صحيح ,true ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C001_QV05_Q_3,"من بين العبارات التالية، حدد تلك التي تبدو لك صحيحة:
سلبيات الوسائل الكتابية:

",بطيئة في إيصال المعلومات.,true , احتمال الفهم الخاطئ للكلمات التي تحمل أكثر من معنى.,true , الاحتفاظ بها والرجوع اليها عند الحاجة.,false ,,,,,,,,,,,,,,
,,,,,,FMPS_C001_QV06_Q_4," أجب بصحيح أو خطأ على العبارة الموالية:
التواصل الافقي عبارة عن مجموعة من الاتصالات الجانبية التي تتم بين الافراد والجماعات


",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C001_QV07_Q_5," أجب بصحيح أو خطأ على العبارة الموالية:
لا يمكن اعتماد التواصل الغير الرسمي في الاتصالات الرسمية لأنه بطيء في نقل وتوصيل المعلومات.
",خطأ,false ,صحيح ,true ,,,,,,,,,,,,,,,,
FMPS_C001,التواصل المهني ,تحديد اشكال التواصل المهني,FMPS_C001_V04,https://drive.google.com/file/d/1Duipsygc2DvZOCC7UGKhFlV6lMK3RDoe/view?usp=drive_link,FMPS_C001_QV04,FMPS_C001_QV04_Q_1,"من بين العبارات التالية، حدد تلك التي تبدو لك صحيحة: 

",مهارة التحدث والحوار والاقناع ترتكز على:,false ,اختيار الكلمات والالفاظ,false ,استخدام لغة الجسد,false ,عدم الخروج عن الموضوع,false ,التعصب في الرأي,true ,,,,,,,,,,
,,,,,,FMPS_C001_QV05_Q_2,"تتجلى مهارة الكتابة في كون المستمع الجيد يستمع لكل ما يقال ولا يقتصر على سماع ما يريد 

",صحيح ,true ,,,,,,,,,,,,,,,,,,
,,,,,,FMPS_C001_QV06_Q_3," التواصل والانفتاح للمؤسسة على العالم الخارجي يهدف الى:
",تحقيق سمعة جيدة للمؤسسة,true ,التكيف والمرونة,true ,انفتاح المؤسسة على محيطها,true ,انعدام الثقة مع العالم الخارجي,false ,,,,,,,,,,,,
,,,,,,FMPS_C001_QV07_Q_4," أجب بصحيح ,خطأ على العبارة الموالية:
النصائح التي يجب اتباعها لتحقيق تواصل مهني جيد: 
 الاستماع بشكل جيد
الإيجابية والاحترام


",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C001_QV08_Q_5,الاعتذار عند أي خطأ خلال التواصل المهني يؤدي الى نتائج سلبية  ,صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C002,التواصل الغير العنيف,تقديم وتعريف,FMPS_C002_V01,https://drive.google.com/file/d/1NKLpkz_8C31woukFwvfoAEynIvw1epdc/view?usp=drive_link,FMPS_C002_QV01,FMPS_C002_QV01_Q_1," أجب بصحيح ,خطأ على العبارة الموالية:  يؤثر التواصل غير العنيف سلبا على العلاقات الاجتماعية للطفل في مرحلة الطفولة الصغرى .



",خطأ,false ,صحيح ,true ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C002_QV01_Q_2," أجب بصحيح أو خطأ على العبارة الموالية:
لإكساب الطفل التواصل غير العنيف يتعين على المربي تعزيز المهارات الاجتماعية والعاطفية فقط؟

",خطأ,false ,صحيح ,true ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C002_QV01_Q_3," حدد الإجابة/الأجوبة الصحيحة من بين الاختيارات التالية:
 التواصل غير العنيف هو منهجية للتواصل والتفاعل مع الاخر والتي تعتمد على: 
",احترام الاخر والتعاون معه,true ,عدم استخدام العنف أو العقاب اللفظي أو الجسدي,true ,تقبل الاخر والاقتداء به,false ,,,,,,,,,,,,,,
,,,,,,FMPS_C002_QV01_Q_4," أجب بصحيح أو خطأ على العبارة الموالية:
من بين أهداف التواصل غير العنيف مساعدة الأطفال على ضبط مشاعرهم والتحكم فيها.

",خطأ,false ,صحيح ,true ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C002_QV01_Q_5," أجب بصحيح أو خطأ على العبارة الموالية:
من بين أهداف التواصل غير العنيف تعزيز التعاون وفهم الاخرين وإيجاد حلول 

",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C002,التواصل الغير العنيف,مبادئ التواصل الغير العنيف,FMPS_C002_V02,https://drive.google.com/file/d/11DG1dg7Uzx549hKnhWiX7BcoUeG_vxp1/view?usp=drive_link,FMPS_C002_QV02,FMPS_C002_QV02_Q_1," أجب بصحيح أو خطأ على العبارة الموالية:
تعتبر مبادئ التواصل غير العنيف أساسية لتحليل وفهم مشاعر الطفل 

",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C002_QV02_Q_2,"حدد الإجابة  الصحيحة من بين الاختيارات التالية:
التواصل الفعال من بين المبادئ الأساسية للتواصل غير العنيف ويقصد به :




",تشجيع الأطفال على استخدام أساليب التواصل غير العنيف,true ,التحاور بهدوء والتعبير عن المشاعر بشكل ملائم,true ,استخدام لغة الجسد الإيجابية في التواصل مع الأطفال,true ,حت الأطفال على الإنصات والاستماع للآخر دون ابداء رأيهم والتعبير عن مشاعرهم,false ,,,,,,,,,,,,
,,,,,,FMPS_C002_QV02_Q_3,"حدد الإجابة الصحيحة:
تعليم لأطفال التواصل الإيجابي يتم من خلال:
"," التواصل الغير لفظي
",true , التعبير عن المشاعر بشكل إيجابي,true , حل النزاعات بشكل سلبي,false ,,,,,,,,,,,,,,
,,,,,,FMPS_C002_QV02_Q_4," أجب بصحيح أو خطأ على العبارة الموالية:
تقديم الدعم والتشجيع المستمر للأطفال يتم عن طريق اعتراف المربي بإنجازات الأطفال 

",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C002,التواصل الغير العنيف,علاقة الذكاء العاطفي بالتواصل الغير العنيف,FMPS_C002_V03,https://drive.google.com/file/d/1172iIZWOfgWb7t90Y0K8zNFo_e7Mfngj/view?usp=drive_link,FMPS_C002_QV03,FMPS_C002_QV03_Q_1,"من بين العبارات التالية، حدد تلك التي تبدو لك صحيحة: 
علاقة الذكاء العاطفي والاجتماعي بالتواصل غير العنيف تمكن الطفل من حل المشكلات بشكل بناء من خلال:

",الحوار,true ,البحث عن حلول لتلبية حاجاته,false ,الاستماع الفعال,true ,,,,,,,,,,,,,,
,,,,,,FMPS_C002_QV03_Q_2," أجب بصحيح أو خطأ على العبارة الموالية:
المراقبة دون اصدار أحكام مسبقة من بين ركائز التواصل غير العنيف

",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C002_QV03_Q_3," أجب بصحيح أو خطأ على العبارة الموالية:
التفاوض وحل النزاعات بدخل ضمن استراتيجيات التعاون والعمل الجماعي

",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C002_QV03_Q_4," أجب بصحيح أو خطأ على العبارة الموالية:
يمكن التعلم النشط والتفاعلي الطفل من:
المشاركة في النقاش
التعبير عن رأيه
 
",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C002,التواصل الغير العنيف,كيف ينمي المربي مهارات التواصل غير العنيف عند الاطفال,FMPS_C002_V04,https://drive.google.com/file/d/1WuaaUNT3y4q-sLVgxFoUpzlkqR56h4IQ/view?usp=drive_link,FMPS_C002_QV04,FMPS_C002_QV04_Q_1," أجب بصحيح أو خطأ على العبارة الموالية:
يمكن التعلم النشط والتفاعلي الطفل من:
المشاركة في النقاش
التعبير عن رأيه
 
",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
,,,,,,FMPS_C002_QV04_Q_2,"من بين العبارات التالية، حدد تلك التي تبدو لك صحيحة: 
التواصل غير العنيف يلعب دورا حيويا في تطوير ونمو الطفل في مرحلة التعليم الأولي وذلك عن طريق:
 
","التواصل المتكرر والإيجابي بين المربي والأطفال 

",true ,التفاعل الإيجابي والمحبب,true ,التشبث بالرأي الفردي,false ,التعبير عن الرغبات والحاجيات,true ,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,تعريف التربية الوالدية,FMPS_C003_V01,https://drive.google.com/file/d/19zxNklX2pIjN74ppUWk-GUr4dN9ZzH_G/view?usp=drive_link,FMPS_C003_QV01,FMPS_C003_QV01_Q_1,"من بين العبارات التالية، حدد تلك التي تبدو لك صحيحة
",الأسرة هي أول متدخل في المحيط المجتمعي للطفل,true ,"لا تؤثر الأسرة في شخصية الطفل ونموه الانفعالي والعاطفي
",false ,"الأسرة تلعب دورا مهما في تأسيس شخصية الطفل بشكل مباشر 
",true ,"للأسرة ممارسات اتجاه الطفل قد تكون لها تأثير إيجابي أو سلبي
",true ,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,تعريف التربية الوالدية,,,,FMPS_C003_QV01_Q_2," أجب بصحيح أو خطأ على العبارة الموالية:
التربية الوالدية هي فقط رعاية الطفل وتوفير الأكل، السكن والتطبيب.

",خطأ,false ,صحيح ,true ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,تعريف التربية الوالدية,,,,FMPS_C003_QV01_Q_3," أجب بصحيح أو خطأ على العبارة الموالية:
التربية الوالدية لا تحتاج فقط تأمين حاجات الطفل المادية والبيولوجية، بل تحتاج تأمين حاجات أخرى.

",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,تعريف التربية الوالدية,,,,FMPS_C003_QV01_Q_4," أجب بصحيح أو خطأ على العبارة الموالية:
الغاية الكبرى من التربية الوالدية هي تحقيق الاندماج الاجتماعي للطفل.

",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,تعريف التربية الوالدية,,,,FMPS_C003_QV01_Q_5," أجب بصحيح أو خطأ على العبارة الموالية:
الهدف من التربية الوالدية هو تشكيل شخصية الطفل.

",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,تعريف التربية الوالدية,,,,FMPS_C003_QV01_Q_6,"أجب بصحيح أو خطأ على العبارة الموالية:
لتحقيق أهداف التربية الوالدية يجب على الوالدين أن تكون لديهما معرفة كاملة بميولات وحاجيات الطفل.

",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,أهمية وأهداف التربية الوالدية,FMPS_C003_V02,https://drive.google.com/file/d/1YptohzrIdIDrrLfHip03Y00SyqdhXjm6/view?usp=drive_link,FMPS_C003_QV02,FMPS_C003_QV02_Q_1," أجب بصحيح أو خطأ على العبارة الموالية:
لتحقيق التوازن النفسي للطفل يجب أن يشعر بالأمان وأن يتم حمايته من الأضرار الخارجية.

",صحيح ,true ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,أهمية وأهداف التربية الوالدية,,,,FMPS_C003_QV02_Q_2,"أجب بصحيح أو خطأ على العبارة الموالية:
 
يمكن تحقيق التكيف الاجتماعي للطفل بإكسابه قواعد التواصل.



",صحيح ,true ,,,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,أهمية وأهداف التربية الوالدية,,,,FMPS_C003_QV02_Q_3, اعط نوع الأسلوب المناسب لهذا التعريف:يفرض الوالدان على الطفل رغباتهما ويقومان بالتصدي لرغباته وميولاته.,"أسلوب القسوة

",false ,"أسلوب العقاب 

",false ,أسلوب فرض الرأي ,true ,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,أهمية وأهداف التربية الوالدية,,,,FMPS_C003_QV02_Q_4,أجب بصحيح أو خطأ على العبارة الموالية:يترتب عن استخدام أسلوب العقاب مع الطفل شخصية عدوانية وشعور دائم بالعدوانية.,"صحيح
",true ,,,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,أساليب نجاح التربية الوالدية I ,FMPS_C003_V03,https://drive.google.com/file/d/1jL4QN0aU9SWtSjfMBFf8fc5MOgRHY9oK/view?usp=drive_link,FMPS_C003_QV03,FMPS_C003_QV03_Q_1," أجب بصحيح أو خطأ على العبارة الموالية:
التعامل مع الطفل بأسلوب إيجابي وفهم عالمه ومعرفة متطلباته وميولاته وحاجياته من أساليب التربية الإيجابية

",صحيح,true ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,أساليب نجاح التربية الوالدية I ,,,,FMPS_C003_QV03_Q_2,"أجب بصحيح أو خطأ على العبارة الموالية:
 من بين خطوات التعامل مع الطفل بأسلوب إيجابي  نجد: 
التعرف على عالم الطفل و الاستماع لحاجياته ",صحيح,true ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,أساليب نجاح التربية الوالدية I ,,,,FMPS_C003_QV03_Q_3,"أجب بصحيح أو خطأ على العبارة الموالية:
أسلوب تقديم الخيارات يدل على الضعف في التعامل مع الطفل. 
",خطأ,false ,صحيح,true ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية, أساليب نجاح التربية الوالدية II,FMPS_C003_V04,https://drive.google.com/file/d/1j26FuKFZ_D4sK7utMiBuznYMW-YIDzaS/view?usp=drive_link,FMPS_C003_QV04,FMPS_C003_QV04_Q_1,"من بين الوضعيات التالية، حدد تلك التي تبدو لك صحيحة في هذه الحالة:
صدور سلوك حسن من طرف الطفل.
","الثناء على الطفل.
",true ,تجاهل سلوكه باعتباره سلوكا عاديا.,false ,تعزيز سلوكه بالمدح,false ,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية, أساليب نجاح التربية الوالدية II,,,,FMPS_C003_QV04_Q_2,"أجب بصحيح أو خطأ على العبارة الموالية:
اللوم هو أحسن أسلوب في حالة السلوك السيء عند الطفل.

",خطأ,false ,,,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية, أساليب نجاح التربية الوالدية II,,,,FMPS_C003_QV04_Q_3," من بين الاختيارات التالية، حدد الصحيحة:
الصراخ وكثرة اللوم تؤدي لطفل.

","محبط، ينقص من نفسه",true ,"مطيع
",false ,هادئ,false ,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية, أساليب نجاح التربية الوالدية II,,,,FMPS_C003_QV04_Q_4,"أجب بصحيح أو خطأ على العبارة الموالية:

تتجلى أهمية أسلوب التبليغ والإخبار في تنبيه الطفل للأنشطة التي سيقوم بها، لكي لا يتفاجئ ويستعد نفسيا",صحيح,true ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية, أساليب نجاح التربية الوالدية II,,,,FMPS_C003_QV04_Q_5," أجب بصحيح أو خطأ على العبارة الموالية:
من الواجب على المربي توعية الآباء وتحسيسهم بالأساليب التربوية الإيجابية.

",صحيح,true  ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية, أساليب نجاح التربية الوالدية II,,,,FMPS_C003_QV04_Q_6," أجب بصحيح  أو خطأ على العبارة الموالية:
لإشراك الآباء في الحياة المدرسية دور مهم في تحسين تعلم الأطفال وتحقيق التنشئة الاجتماعية.

",صحيح,true  ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية, مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,FMPS_C003_V05,https://drive.google.com/file/d/16-v8dAKBNWl0a18nYnB6R3U-Qb9ntxN3/view?usp=drive_link,FMPS_C003_QV05,FMPS_C003_QV05_Q_1,"أذكر طريقتين للتواصل غير المباشر مع الآباء يستطيع المربي اتباعهما:
حقيبة المعرفة.
شجرة المكتسبات.


","حقيبة المعرفة.


",true  ,شجرة المكتسبات.,true  ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية, مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,,,,FMPS_C003_QV05_Q_2," أجب بصحيح او خطأ على العبارة الموالية:
شجرة المكتسبات طريقة تمكن الآباء من الاطلاع على تطور مكتسبات أطفالهم.



",صحيح,true  ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية, مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,,,,FMPS_C003_QV05_Q_3," أجب بصحيح او خطأ على العبارة الموالية:
من خلال تحفيز الآباء على المشاركة في الحياة المدرسية يتم تجاوز الصورة النمطية التقليدية للمدرسة.




",صحيح,true  ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية, مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,,,,FMPS_C003_QV05_Q_4,"من بين العبارات التالية، حدد تلك التي تبدو لك صحيحة:

","من أشكال إشراك الأباء في الحياة المدرسية إشراكهم في الاحتفالات، المسابقات والخرجات.
 
",true  ,"من الجيد عدم إشراك الأباء في الحياة المدرسية تجنبا للمشاكل والخلافات. 
. ",false ,السماح للآباء بالمشاركة في اتخاذ القرار مع المدرسة يعد من الأساليب التربوية الإيجابية,true ,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية, مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,FMPS_C003_V06,https://drive.google.com/file/d/16-v8dAKBNWl0a18nYnB6R3U-Qb9ntxN3/view?usp=drive_link,FMPS_C003_QV06,FMPS_C003_QV06_Q_1,"أجب بصحيح او خطأ على العبارة الموالية:
يهدف إشراك الآباء في الحياة المدرسية تبادل المعلومات والمهارات والاهتمامات معهم.

",صحيح ,true  ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,فوائد  مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية  ,,,,FMPS_C003_QV06_Q_2," أجب بصحيح او  خطأ على العبارة الموالية:
تعتبر الواجبات المنزلية التي لا يغلب عليها طابع التعلمات مساهمة في إغناء المشاريع التربوية المدروسة. 

",صحيح,true  ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,فوائد  مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية  ,,,,FMPS_C003_QV06_Q_3," أجب بصحيح او  خطأ على العبارة الموالية:
إنجاز بحث منزلي بمساعدة الوالدين يعد إشراكا لهم في العملية التعلمية. 

",صحيح,true  ,خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,فوائد  مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية  ,,,,FMPS_C003_QV06_Q_4," أجب بصحيح او  خطأ على العبارة الموالية:
لا يجب على المربي إطلاع الآباء على الطرق والاستراتيجيات التي تعمل بها تفاديا للاصطدام بين المؤسسة والمنزل. 

. 

", خطأ,false ,صحيح,true  ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,فوائد  مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية  ,,,,FMPS_C003_QV06_Q_5," أجب بصحيح او  خطأ على العبارة الموالية:
ربط تعلمات الطفل بحياته اليومية رفقة أسرته يعزز التواصل بين المؤسسة والمنزل.

. 

. 

",صحيح,true  ,,,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,فوائد  مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية  ,,,,FMPS_C003_QV06_Q_6," من بين العبارات التالية، حدد تلك التي تبدو لك صحيحة
",- الأساليب الإيجابية لإشراك الآباء في الحياة المدرسية لها فوائد تعود فقط على الآباء.,false ,- تساعد أساليب إشراك الآباء في العملية التعلمية في تحسين ممارساتهم التربوية في المنزل.,true  ,- من خلال إشراك الآباء في الحياة المدرسية سوف يدركون خصائص التعليم الأولي.,true  ,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,فوائد  مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية  ,,,,FMPS_C003_QV06_Q_7," أجب بصحيح او  خطأ على العبارة الموالية:
سيتجنب الطفل الوقوع في تناقض بين الأسرة والمدرسة بفضل إشراك الوالدين في الحياة المدرسية.",صحيح,true  , خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C003,التربية الوالدية,فوائد  مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية  ,,,,FMPS_C003_QV06_Q_8," أجب بصحيح او  خطأ على العبارة الموالية:
الشراكة بين المدرسة والوالدين تأتي تأكيدا على أن عملية تعليم الأطفال مسؤولية مشتركة بينهما.
",صحيح,true  , خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C004,نظريات التعلم, تعريف نظريات التعلم واهميتها ,FMPS_C004_V01,https://drive.google.com/file/d/1gIVQdvWiGZqMxyt6WskIegLlgIlMLd5K/view?usp=drive_link,FMPS_C004_QV01,FMPS_C004_QV01_Q_1," أجب بصحيح او  خطأ على العبارة الموالية:
نظريات التعلم هي مجموعة من النظريات والأفكار التي تسعى إلى فهم كيفية اكتساب الأفراد للمعرفة والمهارات وتطويرها عبر الزمن .",صحيح,true  ,,,,,,,,,,,,,,,,,,
FMPS_C004,نظريات التعلم, تعريف نظريات التعلم واهميتها ,,,,FMPS_C004_QV01_Q_2,"من بين الاختيارات التالية، حدد الصحيحة:
يعد فهم هذه نظريات التعلم أمرًا أساسيًا في عدة مجالات من بينها","الاستقلالية و بناء الذات .
",false ,"   التعليم، وعلم النفس، وعلم الاجتماع",true  ,,,,,,,,,,,,,,,,
FMPS_C004,نظريات التعلم, تعريف نظريات التعلم واهميتها ,,,,FMPS_C004_QV01_Q_3," أجب بصحيح او  خطأ على العبارة الموالية:
فهم نظريات التعلم سيساعد المربيين على تحسين أساليبهم التعليمية وضبطها وفقًا لاحتياجات الأطفال واستجابتهم وستساهم أيضًا في توجيه البحوث العلمية التي تستهدف فهم طبيعة التعلم وتحديد العوامل المؤثرة فيه",صحيح,true  , خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C004,نظريات التعلم, تعريف نظريات التعلم واهميتها ,,,,FMPS_C004_QV01_Q_4," أجب بصحيح او  خطأ على العبارة الموالية:
تعتبر دراسة نظريات التعلم أساسًا هامًا لتحسين مهارات التنشيط وتقديم تجارب تعلمية أكثر فعالية وفاعلية لأطفال التعليم الاولي.",صحيح,true  , خطأ,false ,,,,,,,,,,,,,,,,
FMPS_C004,نظريات التعلم, تعريف نظريات التعلم واهميتها ,,,,FMPS_C004_QV01_Q_5," أجب بصحيح او  خطأ على العبارة الموالية:
تساعد  نظريات التعلم المربي على فهم كيفية تعلم الأطفال وكيفية استيعابهم للمعلومات والمفاهيم هذا وتمكنه من توجيه طرق التنشيط بطرق تتناسب مع قدرات واحتياجات الأطفال في المرحلة العمرية المبكرة
.",صحيح,true  ,,,,,,,,,,,,,,,,,,
FMPS_C004,نظريات التعلم, تعريف نظريات التعلم واهميتها ,,,,FMPS_C004_QV01_Q_6,"من بين الاختيارات التالية، حدد الصحيحة 
تتجسد أهمية نظريات التعلم في قدرتها على 

","اعتماد أسلوب تنشيط  موحد.

",false ,معالجة التحديات التعلمية.,true  ,تحسين التفاعل مع الأطفال.,true  ,,,,,,,,,,,,,,
FMPS_C004,نظريات التعلم,النظرية السلوكية   ,FMPS_C004_V02,https://drive.google.com/file/d/1ChYINd0_NKthFBDpuTdJIjcFg7DrN7ry/view?usp=drive_link,FMPS_C004_QV02,FMPS_C004_QV02_Q_1," أجب بصحيح او  خطأ على العبارة الموالية:
النظرية السلوكية هي نظرية نفسية تركّز على دراسة السلوك البشري وتفسيره، وتعتبر أن السلوك لا يتأثر بتجاربنا من خلال التفاعل مع البيئة.",خطأ,false ,صحيح,true  ,,,,,,,,,,,,,,,,
