module_name,module_code,module_description,framework_languages,children
التواصل المهني,FMPS_C001_V01,No DESCRIPTION,"arabic;english,french","التواصل المهني,الاختبار التواصل المهني"
التطبيق البيداغوجي للنظرية البنائية,FMPS_C004_V05,No DESCRIPTION,"arabic;english,french","التطبيق البيداغوجي للنظرية البنائية,الاختبار التطبيق البيداغوجي للنظرية البنائية"
النظرية الجشطالتية,FMPS_C004_V06,No DESCRIPTION,"arabic;english,french","النظرية الجشطالتية,الاختبار النظرية الجشطالتية"
التطبيق البيداغوجي للنظرية الجشطلتية,FMPS_C004_V07,No DESCRIPTION,"arabic;english,french","التطبيق البيداغوجي للنظرية الجشطلتية,الاختبار التطبيق البيداغوجي للنظرية الجشطلتية"
النظرية السوسيوبنائية,FMPS_C004_V08,No DESCRIPTION,"arabic;english,french","النظرية السوسيوبنائية,الاختبار النظرية السوسيوبنائية"
كيفية التطبيق البيداغوجي للنظرية السوسيوبنائية,FMPS_C004_V09,No DESCRIPTION,"arabic;english,french","كيفية التطبيق البيداغوجي للنظرية السوسيوبنائية,الاختبار كيفية التطبيق البيداغوجي للنظرية السوسيوبنائية"
النظرية المعرفية,FMPS_C004_V10,No DESCRIPTION,"arabic;english,french","النظرية المعرفية,الاختبار النظرية المعرفية"
مبادئ واسس النظرية المعرفية,FMPS_C004_V11,No DESCRIPTION,"arabic;english,french","مبادئ واسس النظرية المعرفية,الاختبار مبادئ واسس النظرية المعرفية"
خلاصة لنظريات التعلم,FMPS_C004_V12,No DESCRIPTION,"arabic;english,french","خلاصة لنظريات التعلم,الاختبار خلاصة لنظريات التعلم"
مقدمة,FMPS_C005_V01,No DESCRIPTION,"arabic;english,french","مقدمة,الاختبار مقدمة"
سلوك الكدب عند الطفل,FMPS_C005_V02,No DESCRIPTION,"arabic;english,french","سلوك الكدب عند الطفل,الاختبار سلوك الكدب عند الطفل"
سلوك العناد عند الطفل,FMPS_C005_V03,No DESCRIPTION,"arabic;english,french","سلوك العناد عند الطفل,الاختبار سلوك العناد عند الطفل"
سلوك العدوانية عند الطفل,FMPS_C005_V04,No DESCRIPTION,"arabic;english,french","سلوك العدوانية عند الطفل,الاختبار سلوك العدوانية عند الطفل"
سلوك الألفاظ النابية عند الأطفال,FMPS_C005_V05,No DESCRIPTION,"arabic;english,french","سلوك الألفاظ النابية عند الأطفال,الاختبار سلوك الألفاظ النابية عند الأطفال"
سلوك السرقة عند الطفل,FMPS_C005_V06,No DESCRIPTION,"arabic;english,french","سلوك السرقة عند الطفل,الاختبار سلوك السرقة عند الطفل"
سلوك الخجل عند الطفل,FMPS_C005_V07,No DESCRIPTION,"arabic;english,french","سلوك الخجل عند الطفل,الاختبار سلوك الخجل عند الطفل"
سلوك العصبية عند الطفل,FMPS_C005_V08,No DESCRIPTION,"arabic;english,french","سلوك العصبية عند الطفل,الاختبار سلوك العصبية عند الطفل"
سلوك القلق و الخوف عند الطفل,FMPS_C005_V09,No DESCRIPTION,"arabic;english,french","سلوك القلق و الخوف عند الطفل,الاختبار سلوك القلق و الخوف عند الطفل"
سلوك رهاب المدرسة عند الطفل,FMPS_C005_V10,No DESCRIPTION,"arabic;english,french","سلوك رهاب المدرسة عند الطفل,الاختبار سلوك رهاب المدرسة عند الطفل"
مقدمة أنواع الملصقات,FMPS_C006_V01,No DESCRIPTION,"arabic;english,french","مقدمة أنواع الملصقات,الاختبار مقدمة أنواع الملصقات"
ملصق الحضور,FMPS_C006_V02,No DESCRIPTION,"arabic;english,french","ملصق الحضور,الاختبار ملصق الحضور"
مبدأ التدرج الخاص بملصق الحضور,FMPS_C006_V03,No DESCRIPTION,"arabic;english,french","مبدأ التدرج الخاص بملصق الحضور,الاختبار مبدأ التدرج الخاص بملصق الحضور"
ملصق المسؤوليات,FMPS_C006_V04,No DESCRIPTION,"arabic;english,french","ملصق المسؤوليات,الاختبار ملصق المسؤوليات"
ملصق اليومية,FMPS_C006_V05,No DESCRIPTION,"arabic;english,french","ملصق اليومية,الاختبار ملصق اليومية"
مبدأ التدرج الخاص بملصق اليومية,FMPS_C006_V06,No DESCRIPTION,"arabic;english,french","مبدأ التدرج الخاص بملصق اليومية,الاختبار مبدأ التدرج الخاص بملصق اليومية"
ملصق حالة الطقس,FMPS_C006_V07,No DESCRIPTION,"arabic;english,french","ملصق حالة الطقس,الاختبار ملصق حالة الطقس"
مبدأ التدرج الخاص بملصق حالة الطقس,FMPS_C006_V08,No DESCRIPTION,"arabic;english,french","مبدأ التدرج الخاص بملصق حالة الطقس,الاختبار مبدأ التدرج الخاص بملصق حالة الطقس"
ملصق فصول السنة+ملصق الاعداد+ملصق الحروف الهجائية,FMPS_C006_V09,No DESCRIPTION,"arabic;english,french","ملصق فصول السنة+ملصق الاعداد+ملصق الحروف الهجائية,الاختبار ملصق فصول السنة+ملصق الاعداد+ملصق الحروف الهجائية"
ملصق الالوان,FMPS_C006_V10,No DESCRIPTION,"arabic;english,french","ملصق الالوان,الاختبار ملصق الالوان"
ملصق قواعد العيش,FMPS_C006_V11,No DESCRIPTION,"arabic;english,french","ملصق قواعد العيش,الاختبار ملصق قواعد العيش"
مفهوم التخطيط و أهدافه,FMPS_C007_V01,No DESCRIPTION,"arabic;english,french","مفهوم التخطيط و أهدافه,الاختبار مفهوم التخطيط و أهدافه"
أنواع و أنشطة التخطيط,FMPS_C007_V02,No DESCRIPTION,"arabic;english,french","أنواع و أنشطة التخطيط,الاختبار أنواع و أنشطة التخطيط"
التحكم الحركي,FMPS_C007_V03,No DESCRIPTION,"arabic;english,french","التحكم الحركي,الاختبار التحكم الحركي"
مراحل اكتساب التحكم الحركي,FMPS_C007_V04,No DESCRIPTION,"arabic;english,french","مراحل اكتساب التحكم الحركي,الاختبار مراحل اكتساب التحكم الحركي"
محور التطبيقي للتخطيط,FMPS_C007_V05,No DESCRIPTION,"arabic;english,french","محور التطبيقي للتخطيط,الاختبار محور التطبيقي للتخطيط"
العلاقة بين اللعب و التعلمات,FMPS_C008_V01,No DESCRIPTION,"arabic;english,french","العلاقة بين اللعب و التعلمات,الاختبار العلاقة بين اللعب و التعلمات"
تعريف بيداغوجية اللعب,FMPS_C008_V02,No DESCRIPTION,"arabic;english,french","تعريف بيداغوجية اللعب,الاختبار تعريف بيداغوجية اللعب"
أهداف الألعاب التربوية في التعليم الأولي,FMPS_C008_V03,No DESCRIPTION,"arabic;english,french","أهداف الألعاب التربوية في التعليم الأولي,الاختبار أهداف الألعاب التربوية في التعليم الأولي"
الألعاب التربوية التي يمكن استثمارها في قسم للتعليم الأولي,FMPS_C008_V04,No DESCRIPTION,"arabic;english,french","الألعاب التربوية التي يمكن استثمارها في قسم للتعليم الأولي,الاختبار الألعاب التربوية التي يمكن استثمارها في قسم للتعليم الأولي"
الألعاب الحسية في التعليم الأولي,FMPS_C008_V05,No DESCRIPTION,"arabic;english,french","الألعاب الحسية في التعليم الأولي,الاختبار الألعاب الحسية في التعليم الأولي"
الألعاب الحسية في التي يمكن استثمارها في قسم التعليم الأولي,FMPS_C008_V06,No DESCRIPTION,"arabic;english,french","الألعاب الحسية في التي يمكن استثمارها في قسم التعليم الأولي,الاختبار الألعاب الحسية في التي يمكن استثمارها في قسم التعليم الأولي"
الألعاب الشعبية و أهدافها في التعليم الأولي,FMPS_C008_V07,No DESCRIPTION,"arabic;english,french","الألعاب الشعبية و أهدافها في التعليم الأولي,الاختبار الألعاب الشعبية و أهدافها في التعليم الأولي"
الالعاب اللغوية و أهدافها في التعليم الأولي,FMPS_C008_V08,No DESCRIPTION,"arabic;english,french","الالعاب اللغوية و أهدافها في التعليم الأولي,الاختبار الالعاب اللغوية و أهدافها في التعليم الأولي"
الالعاب اللغوية التي يمكن استثمارها في قسم للتعليم الأولي,FMPS_C008_V09,No DESCRIPTION,"arabic;english,french","الالعاب اللغوية التي يمكن استثمارها في قسم للتعليم الأولي,الاختبار الالعاب اللغوية التي يمكن استثمارها في قسم للتعليم الأولي"
الأنشطة الإبداعية في التعليم الأولي,FMPS_C009_V01,No DESCRIPTION,"arabic;english,french","الأنشطة الإبداعية في التعليم الأولي,الاختبار الأنشطة الإبداعية في التعليم الأولي"
دور الأنشطة الإبداعية في تنمية الإبداع لذا الطفل,FMPS_C009_V02,No DESCRIPTION,"arabic;english,french","دور الأنشطة الإبداعية في تنمية الإبداع لذا الطفل,الاختبار دور الأنشطة الإبداعية في تنمية الإبداع لذا الطفل"
دور المربي في تنمية الإبداع لذا الطفل,FMPS_C009_V03,No DESCRIPTION,"arabic;english,french","دور المربي في تنمية الإبداع لذا الطفل,الاختبار دور المربي في تنمية الإبداع لذا الطفل"
ربط الأنشطة الإبداعية والأنشطة التعليمية للطفل,FMPS_C009_V04,No DESCRIPTION,"arabic;english,french","ربط الأنشطة الإبداعية والأنشطة التعليمية للطفل,الاختبار ربط الأنشطة الإبداعية والأنشطة التعليمية للطفل"
تقنيات توظيف الأنشطة الإبداعية في التعليم الأولي,FMPS_C009_V05,No DESCRIPTION,"arabic;english,french","تقنيات توظيف الأنشطة الإبداعية في التعليم الأولي,الاختبار تقنيات توظيف الأنشطة الإبداعية في التعليم الأولي"
التفتح اللغوي في مرحلة التعليم الأولي,FMPS_C010_V01,No DESCRIPTION,"arabic;english,french","التفتح اللغوي في مرحلة التعليم الأولي,الاختبار التفتح اللغوي في مرحلة التعليم الأولي"
التفتح اللغوي وتعلم اللغات,FMPS_C010_V02,No DESCRIPTION,"arabic;english,french","التفتح اللغوي وتعلم اللغات,الاختبار التفتح اللغوي وتعلم اللغات"
كيفية التفاعل مع الأطفال بإستخدام اللغات,FMPS_C010_V03,No DESCRIPTION,"arabic;english,french","كيفية التفاعل مع الأطفال بإستخدام اللغات,الاختبار كيفية التفاعل مع الأطفال بإستخدام اللغات"
التفتح اللغوي عمليا,FMPS_C010_V04,No DESCRIPTION,"arabic;english,french","التفتح اللغوي عمليا,الاختبار التفتح اللغوي عمليا"
خاتمة,FMPS_C010_V05,No DESCRIPTION,"arabic;english,french","خاتمة,الاختبار خاتمة"
الاستعداد للقراءة في مرحلة التعليم الأولي,FMPS_C011_V01,No DESCRIPTION,"arabic;english,french","الاستعداد للقراءة في مرحلة التعليم الأولي,الاختبار الاستعداد للقراءة في مرحلة التعليم الأولي"
التعرف على مهارات القراءة,FMPS_C011_V02,No DESCRIPTION,"arabic;english,french","التعرف على مهارات القراءة,الاختبار التعرف على مهارات القراءة"
التعرف على وضعيات استمرارية مهارة القراءة,FMPS_C011_V03,No DESCRIPTION,"arabic;english,french","التعرف على وضعيات استمرارية مهارة القراءة,الاختبار التعرف على وضعيات استمرارية مهارة القراءة"
أنواع الصور التعليمية,FMPS_C011_V04,No DESCRIPTION,"arabic;english,french","أنواع الصور التعليمية,الاختبار أنواع الصور التعليمية"
دور المربي في تطوير مهارة القراءة لذى الطفل,FMPS_C011_V05,No DESCRIPTION,"arabic;english,french","دور المربي في تطوير مهارة القراءة لذى الطفل,الاختبار دور المربي في تطوير مهارة القراءة لذى الطفل"
مقدمة,FMPS_C012_V01,No DESCRIPTION,"arabic;english,french","مقدمة,الاختبار مقدمة"
تنمية مهارات التفتح العلمي و التكنولوجي عند الطفل,FMPS_C012_V02,No DESCRIPTION,"arabic;english,french","تنمية مهارات التفتح العلمي و التكنولوجي عند الطفل,الاختبار تنمية مهارات التفتح العلمي و التكنولوجي عند الطفل"
إعداد وتنفيد انشطة التفتح العلمي والتكنولوجي,FMPS_C012_V03,No DESCRIPTION,"arabic;english,french","إعداد وتنفيد انشطة التفتح العلمي والتكنولوجي,الاختبار إعداد وتنفيد انشطة التفتح العلمي والتكنولوجي"
انشطة التفتح العلمي,FMPS_C012_V04,No DESCRIPTION,"arabic;english,french","انشطة التفتح العلمي,الاختبار انشطة التفتح العلمي"
انشطة التفتح التكنولوجي,FMPS_C012_V05,No DESCRIPTION,"arabic;english,french","انشطة التفتح التكنولوجي,الاختبار انشطة التفتح التكنولوجي"
التربية النفسية الحركية,FMPS_C013_V01,No DESCRIPTION,"arabic;english,french","التربية النفسية الحركية,الاختبار التربية النفسية الحركية"
أهداف التربية النفسية الحركية,FMPS_C013_V02,No DESCRIPTION,"arabic;english,french","أهداف التربية النفسية الحركية,الاختبار أهداف التربية النفسية الحركية"
لعبة القط والفأر,FMPS_C013_V03,No DESCRIPTION,"arabic;english,french","لعبة القط والفأر,الاختبار لعبة القط والفأر"
لعبة متاهة الصلصال,FMPS_C013_V04,No DESCRIPTION,"arabic;english,french","لعبة متاهة الصلصال,الاختبار لعبة متاهة الصلصال"
لعبة الثعلب الهارب,FMPS_C013_V05,No DESCRIPTION,"arabic;english,french","لعبة الثعلب الهارب,الاختبار لعبة الثعلب الهارب"
لعبة كرة الأصدقاء,FMPS_C013_V06,No DESCRIPTION,"arabic;english,french","لعبة كرة الأصدقاء,الاختبار لعبة كرة الأصدقاء"
النمو الاجتماعي العاطفي في مرحلة التعليم الأولي,FMPS_C014_V01,No DESCRIPTION,"arabic;english,french","النمو الاجتماعي العاطفي في مرحلة التعليم الأولي,الاختبار النمو الاجتماعي العاطفي في مرحلة التعليم الأولي"
أهمية العواطف في التعلم ونمو الطفل,FMPS_C014_V02,No DESCRIPTION,"arabic;english,french","أهمية العواطف في التعلم ونمو الطفل,الاختبار أهمية العواطف في التعلم ونمو الطفل"
الذكاء العاطفي في مرحلة التعليم الأولي,FMPS_C014_V03,No DESCRIPTION,"arabic;english,french","الذكاء العاطفي في مرحلة التعليم الأولي,الاختبار الذكاء العاطفي في مرحلة التعليم الأولي"
تقييم التطور الاجتماعي والعاطفي في مرحلة التعليم الأولي,FMPS_C014_V04,No DESCRIPTION,"arabic;english,french","تقييم التطور الاجتماعي والعاطفي في مرحلة التعليم الأولي,الاختبار تقييم التطور الاجتماعي والعاطفي في مرحلة التعليم الأولي"
الإجراءات والتدخلات في التعلم الاجتماعي العاطفي,FMPS_C014_V05,No DESCRIPTION,"arabic;english,french","الإجراءات والتدخلات في التعلم الاجتماعي العاطفي,الاختبار الإجراءات والتدخلات في التعلم الاجتماعي العاطفي"
المقدمة,FMPS_C015_V01,No DESCRIPTION,"arabic;english,french","المقدمة,الاختبار المقدمة"
جوانب الهوية المهنية,FMPS_C015_V02,No DESCRIPTION,"arabic;english,french","جوانب الهوية المهنية,الاختبار جوانب الهوية المهنية"
مكونات الهوية المهنية,FMPS_C015_V03,No DESCRIPTION,"arabic;english,french","مكونات الهوية المهنية,الاختبار مكونات الهوية المهنية"
مراحل تكوين المهارة,FMPS_C015_V04,No DESCRIPTION,"arabic;english,french","مراحل تكوين المهارة,الاختبار مراحل تكوين المهارة"
أهم مهارات مربي التعليم الأولي,FMPS_C015_V05,No DESCRIPTION,"arabic;english,french","أهم مهارات مربي التعليم الأولي,الاختبار أهم مهارات مربي التعليم الأولي"
كيف يمكن للمربي تطوير مهارته,FMPS_C015_V06,No DESCRIPTION,"arabic;english,french","كيف يمكن للمربي تطوير مهارته,الاختبار كيف يمكن للمربي تطوير مهارته"
أهم أهداف تطوير الهوية المهنية للمربي,FMPS_C015_V07,No DESCRIPTION,"arabic;english,french","أهم أهداف تطوير الهوية المهنية للمربي,الاختبار أهم أهداف تطوير الهوية المهنية للمربي"
مفهوم الهوية المهنية,FMPS_C015_V08,No DESCRIPTION,"arabic;english,french","مفهوم الهوية المهنية,الاختبار مفهوم الهوية المهنية"
نصائح لتطوير الهوية المهنية,FMPS_C015_V09,No DESCRIPTION,"arabic;english,french","نصائح لتطوير الهوية المهنية,الاختبار نصائح لتطوير الهوية المهنية"
التعلم المتبادل,FMPS_C016_V01,No DESCRIPTION,"arabic;english,french","التعلم المتبادل,الاختبار التعلم المتبادل"
التعلم عن طريق البرهنة,FMPS_C016_V02,No DESCRIPTION,"arabic;english,french","التعلم عن طريق البرهنة,الاختبار التعلم عن طريق البرهنة"
التعلم عبر السياق,FMPS_C016_V03,No DESCRIPTION,"arabic;english,french","التعلم عبر السياق,الاختبار التعلم عبر السياق"
التعلم العفوي,FMPS_C016_V04,No DESCRIPTION,"arabic;english,french","التعلم العفوي,الاختبار التعلم العفوي"
التعلم عبر المفاهيم,FMPS_C016_V05,No DESCRIPTION,"arabic;english,french","التعلم عبر المفاهيم,الاختبار التعلم عبر المفاهيم"
مقدمة,FMPS_C017_V01,No DESCRIPTION,"arabic;english,french","مقدمة,الاختبار مقدمة"
الثقة بالنفس,FMPS_C017_V02,No DESCRIPTION,"arabic;english,french","الثقة بالنفس,الاختبار الثقة بالنفس"
الخيال و الابداع,FMPS_C017_V03,No DESCRIPTION,"arabic;english,french","الخيال و الابداع,الاختبار الخيال و الابداع"
المثابرة,FMPS_C017_V04,No DESCRIPTION,"arabic;english,french","المثابرة,الاختبار المثابرة"
الفضول و حب الاستطلاع,FMPS_C017_V05,No DESCRIPTION,"arabic;english,french","الفضول و حب الاستطلاع,الاختبار الفضول و حب الاستطلاع"
التعاون,FMPS_C017_V06,No DESCRIPTION,"arabic;english,french","التعاون,الاختبار التعاون"
مفهوم التربية البيئية,FMPS_C018_V01,No DESCRIPTION,"arabic;english,french","مفهوم التربية البيئية,الاختبار مفهوم التربية البيئية"
أهمية التربية البيئية و أهدافها,FMPS_C018_V02,No DESCRIPTION,"arabic;english,french","أهمية التربية البيئية و أهدافها,الاختبار أهمية التربية البيئية و أهدافها"
استثمار التربية البيئية في قسم التعليم الأولي,FMPS_C018_V03,No DESCRIPTION,"arabic;english,french","استثمار التربية البيئية في قسم التعليم الأولي,الاختبار استثمار التربية البيئية في قسم التعليم الأولي"
أنشطة تطبيقية مساهمة في تبني سلوكيات بيئية سليمة لدى الاطفال,FMPS_C018_V04,No DESCRIPTION,"arabic;english,french","أنشطة تطبيقية مساهمة في تبني سلوكيات بيئية سليمة لدى الاطفال,الاختبار أنشطة تطبيقية مساهمة في تبني سلوكيات بيئية سليمة لدى الاطفال"
أنشطة حول التربية البيئية,FMPS_C018_V05,No DESCRIPTION,"arabic;english,french","أنشطة حول التربية البيئية,الاختبار أنشطة حول التربية البيئية"
الانشطة التربوية المساهمة في تكوين السلوكيات السليمة,FMPS_C018_V06,No DESCRIPTION,"arabic;english,french","الانشطة التربوية المساهمة في تكوين السلوكيات السليمة,الاختبار الانشطة التربوية المساهمة في تكوين السلوكيات السليمة"
التعرف على عملية التقويم في مرحلة التعليم الاولي,FMPS_C019_V01,No DESCRIPTION,"arabic;english,french","التعرف على عملية التقويم في مرحلة التعليم الاولي,الاختبار التعرف على عملية التقويم في مرحلة التعليم الاولي"
اهمية التقويم في مرحلة التعليم الاولي,FMPS_C019_V02,No DESCRIPTION,"arabic;english,french","اهمية التقويم في مرحلة التعليم الاولي,الاختبار اهمية التقويم في مرحلة التعليم الاولي"
مقاربة التقويم في مرحلة التعليم الاولي,FMPS_C019_V03,No DESCRIPTION,"arabic;english,french","مقاربة التقويم في مرحلة التعليم الاولي,الاختبار مقاربة التقويم في مرحلة التعليم الاولي"
التعزيز الايجابي,FMPS_C020_V01,No DESCRIPTION,"arabic;english,french","التعزيز الايجابي,الاختبار التعزيز الايجابي"
اشكال التعزيز الايجابي,FMPS_C020_V02,No DESCRIPTION,"arabic;english,french","اشكال التعزيز الايجابي,الاختبار اشكال التعزيز الايجابي"
انواع التعزيز الايجابي التربوي,FMPS_C020_V03,No DESCRIPTION,"arabic;english,french","انواع التعزيز الايجابي التربوي,الاختبار انواع التعزيز الايجابي التربوي"
انواع التعزيز الايجابي التربوي,FMPS_C020_V04,No DESCRIPTION,"arabic;english,french","انواع التعزيز الايجابي التربوي,الاختبار انواع التعزيز الايجابي التربوي"
العوامل المؤثرة في فعاليات المعززات التربوية,FMPS_C020_V05,No DESCRIPTION,"arabic;english,french","العوامل المؤثرة في فعاليات المعززات التربوية,الاختبار العوامل المؤثرة في فعاليات المعززات التربوية"
التعزيز الايجابي الاجتماعي,FMPS_C020_V06,No DESCRIPTION,"arabic;english,french","التعزيز الايجابي الاجتماعي,الاختبار التعزيز الايجابي الاجتماعي"
خلاصة عامة,FMPS_C020_V07,No DESCRIPTION,"arabic;english,french","خلاصة عامة,الاختبار خلاصة عامة"
العنف التربوي الاعتيادي,FMPS_C021_V01,No DESCRIPTION,"arabic;english,french","العنف التربوي الاعتيادي,الاختبار العنف التربوي الاعتيادي"
اشكال العنف التربوي,FMPS_C021_V02,No DESCRIPTION,"arabic;english,french","اشكال العنف التربوي,الاختبار اشكال العنف التربوي"
بعض الاثار السلبية للعنف التربوي الاعتيادي على الطفل,FMPS_C021_V03,No DESCRIPTION,"arabic;english,french","بعض الاثار السلبية للعنف التربوي الاعتيادي على الطفل,الاختبار بعض الاثار السلبية للعنف التربوي الاعتيادي على الطفل"
المعتقدات الخاطئة حول العنف التربوي,FMPS_C021_V04,No DESCRIPTION,"arabic;english,french","المعتقدات الخاطئة حول العنف التربوي,الاختبار المعتقدات الخاطئة حول العنف التربوي"
كيفية الحفاظ على الانضباط داخل قسم التعليم الأولي,FMPS_C022_V01,No DESCRIPTION,"arabic;english,french","كيفية الحفاظ على الانضباط داخل قسم التعليم الأولي,الاختبار كيفية الحفاظ على الانضباط داخل قسم التعليم الأولي"
بعض الحلول المقترحة لضبط قسم التعليم الأولي,FMPS_C022_V02,No DESCRIPTION,"arabic;english,french","بعض الحلول المقترحة لضبط قسم التعليم الأولي,الاختبار بعض الحلول المقترحة لضبط قسم التعليم الأولي"
التعرف على الأسباب التي تؤثر على الانضباط داخل القسم,FMPS_C022_V03,No DESCRIPTION,"arabic;english,french","التعرف على الأسباب التي تؤثر على الانضباط داخل القسم,الاختبار التعرف على الأسباب التي تؤثر على الانضباط داخل القسم"
أهداف ضبط قسم التعليم الأولي,FMPS_C022_V04,No DESCRIPTION,"arabic;english,french","أهداف ضبط قسم التعليم الأولي,الاختبار أهداف ضبط قسم التعليم الأولي"
إدارة الانضباط داخل قسم التعليم الأول,FMPS_C022_V05,No DESCRIPTION,"arabic;english,french","إدارة الانضباط داخل قسم التعليم الأول,الاختبار إدارة الانضباط داخل قسم التعليم الأول"
المقدمة,FMPS_C023_V01,No DESCRIPTION,"arabic;english,french","المقدمة,الاختبار المقدمة"
تعريف بيداغوجية المشروع و تحديد كيفية التعلم من خلالها,FMPS_C023_V02,No DESCRIPTION,"arabic;english,french","تعريف بيداغوجية المشروع و تحديد كيفية التعلم من خلالها,الاختبار تعريف بيداغوجية المشروع و تحديد كيفية التعلم من خلالها"
أهداف وغايات بيداغوجية المشروع,FMPS_C023_V03,No DESCRIPTION,"arabic;english,french","أهداف وغايات بيداغوجية المشروع,الاختبار أهداف وغايات بيداغوجية المشروع"
المجالات التعلمية,FMPS_C023_V04,No DESCRIPTION,"arabic;english,french","المجالات التعلمية,الاختبار المجالات التعلمية"
المشاريع التربوية ودواعي العمل بيها,FMPS_C023_V05,No DESCRIPTION,"arabic;english,french","المشاريع التربوية ودواعي العمل بيها,الاختبار المشاريع التربوية ودواعي العمل بيها"
مراحل تنفيذ الأنشطة البيداغوجية,FMPS_C023_V06,No DESCRIPTION,"arabic;english,french","مراحل تنفيذ الأنشطة البيداغوجية,الاختبار مراحل تنفيذ الأنشطة البيداغوجية"
التعرف على على دور المربي في بيداغوجيا المشروع,FMPS_C023_V07,No DESCRIPTION,"arabic;english,french","التعرف على على دور المربي في بيداغوجيا المشروع,الاختبار التعرف على على دور المربي في بيداغوجيا المشروع"
مفهوم الأنشطة الموازية و دورها في العملية التعليمية التعلمية,FMPS_C024_V01,No DESCRIPTION,"arabic;english,french","مفهوم الأنشطة الموازية و دورها في العملية التعليمية التعلمية,الاختبار مفهوم الأنشطة الموازية و دورها في العملية التعليمية التعلمية"
الأهداف الخاصة للأنشطة الموازية,FMPS_C024_V02,No DESCRIPTION,"arabic;english,french","الأهداف الخاصة للأنشطة الموازية,الاختبار الأهداف الخاصة للأنشطة الموازية"
الأنشطة الموازية التي يمكن استثمارها في العملية التعليمية التعلمية,FMPS_C024_V03,No DESCRIPTION,"arabic;english,french","الأنشطة الموازية التي يمكن استثمارها في العملية التعليمية التعلمية,الاختبار الأنشطة الموازية التي يمكن استثمارها في العملية التعليمية التعلمية"
الورشات الي يمكن تنظيمها داخل العملية التعليمية التعلمية و كفاياتها,FMPS_C024_V04,No DESCRIPTION,"arabic;english,french","الورشات الي يمكن تنظيمها داخل العملية التعليمية التعلمية و كفاياتها,الاختبار الورشات الي يمكن تنظيمها داخل العملية التعليمية التعلمية و كفاياتها"
