course_code,video_name,video_code,framework_languages,content_url,doID
FMPS_C004,كيفية التطبيق البيداغوجي للنظرية السوسيوبنائية,FMPS_C004_V09,"arabic;english,french",https://drive.google.com/file/d/1GTsONIxoJVPFJ99zUeSrqTN2aKK57kAE/view?usp=drive_link,do_2143197208678809601244
FMPS_C004,النظرية المعرفية,FMPS_C004_V10,"arabic;english,french",https://drive.google.com/file/d/1vekWao-XjO7XIE3fEk0fYoUcfhj5BVLh/view?usp=drive_link,do_2143197209892044801245
FMPS_C004,مبادئ واسس النظرية المعرفية,FMPS_C004_V11,"arabic;english,french",https://drive.google.com/file/d/1FnOtBl8keE9128uHvljKpqbtzWnQfPWF/view?usp=drive_link,do_2143197211067105281246
FMPS_C004,خلاصة لنظريات التعلم,FMPS_C004_V12,"arabic;english,french",https://drive.google.com/file/d/1v1ZU4hjg6MAT4PUdU97qqcCVBkB_6aO_/view?usp=drive_link,do_2143197212350300161247
FMPS_C005,مقدمة,FMPS_C005_V01,"arabic;english,french",https://drive.google.com/file/d/1DntvAiNZODiXY-OCmxm119tTAB3f3XsT/view?usp=drive_link,do_2143197213542563841248
FMPS_C005,سلوك الكدب عند الطفل,FMPS_C005_V02,"arabic;english,french",https://drive.google.com/file/d/1axK7sG1gm68BEcwM3NWa7uugnsB5O8pM/view?usp=drive_link,do_2143197218658713601249
FMPS_C005,سلوك العناد عند الطفل,FMPS_C005_V03,"arabic;english,french",https://drive.google.com/file/d/1NC0h6-4bqPHQWIpb6sNtB7TH20yQsVo3/view?usp=drive_link,do_2143197224254750721250
FMPS_C005,سلوك العدوانية عند الطفل,FMPS_C005_V04,"arabic;english,french",https://drive.google.com/file/d/1SY0YGbG2HXYjwu5DYx98XW8DfV_5k1MV/view?usp=drive_link,do_2143197228302909441251
FMPS_C005,سلوك الألفاظ النابية عند الأطفال,FMPS_C005_V05,"arabic;english,french",https://drive.google.com/file/d/1X1WOjS5NmXH7q7MtQqBsjkJ04n3seWBC/view?usp=drive_link,do_2143197239210885121252
FMPS_C005,سلوك السرقة عند الطفل,FMPS_C005_V06,"arabic;english,french",https://drive.google.com/file/d/1AesStgOPtwu5_zyyAQ0L7noi_WVjZiYJ/view?usp=drive_link,do_2143197242951843841253
FMPS_C005,سلوك الخجل عند الطفل,FMPS_C005_V07,"arabic;english,french",https://drive.google.com/file/d/1LkiRHYqu-x2g-VRSCKR2SI9_E0wqj4MO/view?usp=drive_link,do_2143197249078231041254
FMPS_C005,سلوك العصبية عند الطفل,FMPS_C005_V08,"arabic;english,french",https://drive.google.com/file/d/1YpTD69_hLNE7CSjkayYDxKjqfbb9eeYG/view?usp=drive_link,do_2143197258819010561255
FMPS_C005,سلوك القلق و الخوف عند الطفل,FMPS_C005_V09,"arabic;english,french",https://drive.google.com/file/d/17WXs6EF-yzvRZqwW23A3H2u3kb1gAeL2/view?usp=drive_link,do_2143197267879444481256
FMPS_C005,سلوك رهاب المدرسة عند الطفل,FMPS_C005_V10,"arabic;english,french",https://drive.google.com/file/d/1G9-NInva9B6OIUDxvSlLte2b-ORGGPYT/view?usp=drive_link,do_2143197281186201601257
FMPS_C006,مقدمة أنواع الملصقات,FMPS_C006_V01,"arabic;english,french",https://drive.google.com/file/d/1rMYyVKF_wajOqGh4bgeptYEZ7yPKH09j/view?usp=drive_link,do_2143197285114019841258
FMPS_C006,ملصق الحضور,FMPS_C006_V02,"arabic;english,french",https://drive.google.com/file/d/12G4rqg1QqUx7sWC9afLMpmsBksIab36O/view?usp=drive_link,do_2143197286645104641259
FMPS_C006,مبدأ التدرج الخاص بملصق الحضور,FMPS_C006_V03,"arabic;english,french",https://drive.google.com/file/d/1P50yepJaro2Qpkvg0oQM7aMw6In2mo7d/view?usp=drive_link,do_2143197288347729921260
FMPS_C006,ملصق المسؤوليات,FMPS_C006_V04,"arabic;english,french",https://drive.google.com/file/d/13sSELOWDSbHPFRAf4dvEu1QpPPuBpi31/view?usp=drive_link,do_2143197289801072641261
FMPS_C006,ملصق اليومية,FMPS_C006_V05,"arabic;english,french",https://drive.google.com/file/d/1xlUn-6rjLWvpzOlrltf2F0ypLzFf4P-E/view?usp=drive_link,do_2143197291125391361262
FMPS_C006,مبدأ التدرج الخاص بملصق اليومية,FMPS_C006_V06,"arabic;english,french",https://drive.google.com/file/d/1VThscV0JGCFcteohqSqrBZA0qhRJbkGH/view?usp=drive_link,do_2143197292777308161263
FMPS_C006,ملصق حالة الطقس,FMPS_C006_V07,"arabic;english,french",https://drive.google.com/file/d/1wReMu-YSCcD1OepVLMnBWA5MFvnIznxh/view?usp=drive_link,do_2143197294460846081264
FMPS_C006,مبدأ التدرج الخاص بملصق حالة الطقس,FMPS_C006_V08,"arabic;english,french",https://drive.google.com/file/d/1tm2QNO8bXvu1xbpPhCumcj76BMwH7DCP/view?usp=drive_link,do_2143197295923855361265
FMPS_C006,ملصق فصول السنة+ملصق الاعداد+ملصق الحروف الهجائية,FMPS_C006_V09,"arabic;english,french",https://drive.google.com/file/d/1UyIdPNBB0u5UWP2997mdCGZfhZFEZmYh/view?usp=drive_link,do_2143197297295523841266
FMPS_C006,ملصق الالوان,FMPS_C006_V10,"arabic;english,french",https://drive.google.com/file/d/1gh2gm9ZyQ72yPmN517g9J7QX4_OKF8HG/view?usp=drive_link,do_2143197298838978561267
FMPS_C006,ملصق قواعد العيش,FMPS_C006_V11,"arabic;english,french",https://drive.google.com/file/d/1ZuggU1s6FNT3dxko9OwQqzc9XsJp4mC0/view?usp=drive_link,do_2143197300160839681268
FMPS_C007,مفهوم التخطيط و أهدافه,FMPS_C007_V01,"arabic;english,french",https://drive.google.com/file/d/12sBaXRS7FwymVSu6Hn5iP9gkM2gFXY5T/view?usp=drive_link,do_2143197301540536321269
FMPS_C007,أنواع و أنشطة التخطيط,FMPS_C007_V02,"arabic;english,french",https://drive.google.com/file/d/1CnWG54aAgBsnB8rw0u65qoE6uqtveJzf/view?usp=drive_link,do_2143197303104798721270
FMPS_C007,التحكم الحركي,FMPS_C007_V03,"arabic;english,french",https://drive.google.com/file/d/1bRC3Vl8Z5g5efqEF9t06JK0PSq0G_Enb/view?usp=drive_link,do_2143197304927928321271
FMPS_C007,مراحل اكتساب التحكم الحركي,FMPS_C007_V04,"arabic;english,french",https://drive.google.com/file/d/1EJgc9AyZdHsgvAUJ6RMgGut2HrEyP8Mb/view?usp=drive_link,do_2143197306602782721272
FMPS_C007,محور التطبيقي للتخطيط,FMPS_C007_V05,"arabic;english,french",https://drive.google.com/file/d/16oWDDSOb6cPi04NfiOVDHYuuD3s1rO_z/view?usp=drive_link,do_2143197308256174081273
FMPS_C008,العلاقة بين اللعب و التعلمات,FMPS_C008_V01,"arabic;english,french",https://drive.google.com/file/d/1VExts4utzTrEC2oFteg3XrwZSzdM3J49/view?usp=drive_link,do_2143197309595893761274
FMPS_C008,تعريف بيداغوجية اللعب,FMPS_C008_V02,"arabic;english,french",https://drive.google.com/file/d/1iHlILCO-UIlcybmO5cR-etf4nPV3MOTI/view?usp=drive_link,do_2143197311073320961275
FMPS_C008,أهداف الألعاب التربوية في التعليم الأولي,FMPS_C008_V03,"arabic;english,french",https://drive.google.com/file/d/1c87gDegt_N33NMrg5lJj8oRUKPPbBN7t/view?usp=drive_link,do_2143197312399769601276
FMPS_C008,الألعاب التربوية التي يمكن استثمارها في قسم للتعليم الأولي,FMPS_C008_V04,"arabic;english,french",https://drive.google.com/file/d/11pghkB-wnJLaCM7mdBMCfM5UThLf-o2M/view?usp=drive_link,do_2143197313849835521277
FMPS_C008,الألعاب الحسية في التعليم الأولي,FMPS_C008_V05,"arabic;english,french",https://drive.google.com/file/d/1mMsrWwiaSuhi7ghYo3DPfJ-TtEgqqu9m/view?usp=drive_link,do_2143197315251568641278
FMPS_C008,الألعاب الحسية في التي يمكن استثمارها في قسم التعليم الأولي,FMPS_C008_V06,"arabic;english,french",https://drive.google.com/file/d/1Jxgfy1x2REPE5J0gvKrctoOSXz-ls9ZI/view?usp=drive_link,do_2143197316645355521279
FMPS_C008,الألعاب الشعبية و أهدافها في التعليم الأولي,FMPS_C008_V07,"arabic;english,french",https://drive.google.com/file/d/1d9Mb7hkGVW965Z-EV5gBfiqLGUUsg0gp/view?usp=drive_link,do_2143197317995315201280
FMPS_C008,الالعاب اللغوية و أهدافها في التعليم الأولي,FMPS_C008_V08,"arabic;english,french",https://drive.google.com/file/d/1f2RshSu8vezRFyLvllKAGhvamJMteYN5/view?usp=drive_link,do_2143197319415316481281
FMPS_C008,الالعاب اللغوية التي يمكن استثمارها في قسم للتعليم الأولي,FMPS_C008_V09,"arabic;english,french",https://drive.google.com/file/d/1SQFv8mJVbgK-qYxO2Z5-nOBoWjd_FJOG/view?usp=drive_link,do_2143197320687288321282
FMPS_C009,الأنشطة الإبداعية في التعليم الأولي,FMPS_C009_V01,"arabic;english,french",https://drive.google.com/file/d/1_D7D5f7WS7rdnd1sbacqftemO7FNOudx/view?usp=drive_link,do_2143197322137108481283
FMPS_C009,دور الأنشطة الإبداعية في تنمية الإبداع لذا الطفل,FMPS_C009_V02,"arabic;english,french",https://drive.google.com/file/d/1QvxpzgynNMZpAAjmRLncV8q6wc7OHF1a/view?usp=drive_link,do_2143197323470929921284
FMPS_C009,دور المربي في تنمية الإبداع لذا الطفل,FMPS_C009_V03,"arabic;english,french",https://drive.google.com/file/d/17gF0cv0gA6J-iLrNeeCNzRJl1l1L-BQr/view?usp=drive_link,do_2143197324790333441285
FMPS_C009,ربط الأنشطة الإبداعية والأنشطة التعليمية للطفل,FMPS_C009_V04,"arabic;english,french",https://drive.google.com/file/d/1jC61_5uO9K_SrebwWNyPIe4Zu2Shjyf9/view?usp=drive_link,do_2143197326072791041286
FMPS_C009,تقنيات توظيف الأنشطة الإبداعية في التعليم الأولي,FMPS_C009_V05,"arabic;english,french",https://drive.google.com/file/d/1DXY5_lCP4T7l7jDdw1wq29VdbUT47CQ5/view?usp=drive_link,do_2143197327427092481287
FMPS_C010,التفتح اللغوي في مرحلة التعليم الأولي,FMPS_C010_V01,"arabic;english,french",https://drive.google.com/file/d/1tnfHB4eNlNVuV4hibhW-ZIvhgJM938a1/view?usp=drive_link,do_2143197328732733441288
FMPS_C010,التفتح اللغوي وتعلم اللغات,FMPS_C010_V02,"arabic;english,french",https://drive.google.com/file/d/1aIKyIIbgkRNjQCODEPO-goNdO1ZVoGVm/view?usp=drive_link,do_2143197330376867841289
FMPS_C010,كيفية التفاعل مع الأطفال بإستخدام اللغات,FMPS_C010_V03,"arabic;english,french",https://drive.google.com/file/d/1bVJPiyq78QCuYuSsZFWO-c9VaUyMRSi2/view?usp=drive_link,do_2143197331800064001290
FMPS_C010,التفتح اللغوي عمليا,FMPS_C010_V04,"arabic;english,french",https://drive.google.com/file/d/1VijJcSfQNeFCHXVUMCiPRF6qN30ZK8k0/view?usp=drive_link,do_2143197333345566721291
FMPS_C010,خاتمة,FMPS_C010_V05,"arabic;english,french",https://drive.google.com/file/d/1vBhSVj6DBNF_nDrO3UfxmCgZI7KHd81i/view?usp=drive_link,do_2143197334804971521292
FMPS_C011,الاستعداد للقراءة في مرحلة التعليم الأولي,FMPS_C011_V01,"arabic;english,french",https://drive.google.com/file/d/1Fvh2X-e4FbDn4Rw13JzQsy8kNq3nPbKS/view?usp=drive_link,do_2143197336046387201293
FMPS_C011,التعرف على مهارات القراءة,FMPS_C011_V02,"arabic;english,french",https://drive.google.com/file/d/1yp5CDLH4mfpCu933G6aU3KnmEaiFyif8/view?usp=drive_link,do_2143197337444515841294
FMPS_C011,التعرف على وضعيات استمرارية مهارة القراءة,FMPS_C011_V03,"arabic;english,french",https://drive.google.com/file/d/11YP0nHRrlynE4lA3DIADjd8ZRqtqn24R/view?usp=drive_link,do_2143197338813562881295
FMPS_C011,أنواع الصور التعليمية,FMPS_C011_V04,"arabic;english,french",https://drive.google.com/file/d/1bE8ZVRaRtuognIredAMhc3-JM0oCMox5/view?usp=drive_link,do_2143197340160491521296
FMPS_C011,دور المربي في تطوير مهارة القراءة لذى الطفل,FMPS_C011_V05,"arabic;english,french",https://drive.google.com/file/d/11Zq5JPuSXkjxgjemXc-iPOfjaROIXY2_/view?usp=drive_link,do_2143197341727784961297
FMPS_C012,مقدمة,FMPS_C012_V01,"arabic;english,french",https://drive.google.com/file/d/1hHzx-ZygC34AdqoRabUEYbohthAJgrhS/view?usp=drive_link,do_2143197343091425281298
FMPS_C012,تنمية مهارات التفتح العلمي و التكنولوجي عند الطفل,FMPS_C012_V02,"arabic;english,french",https://drive.google.com/file/d/1CJOTlfI37no--gzvU_JqG4i2dZyo2dvl/view?usp=drive_link,do_2143197348226908161299
FMPS_C012,إعداد وتنفيد انشطة التفتح العلمي والتكنولوجي,FMPS_C012_V03,"arabic;english,french",https://drive.google.com/file/d/1LaOWKpFxzvn0SGKoKCnrpL6sQKDJmUlr/view?usp=drive_link,do_2143197349969510401300
FMPS_C012,انشطة التفتح العلمي,FMPS_C012_V04,"arabic;english,french",https://drive.google.com/file/d/1cKX7K4XhYRjIElsWxa1BXNp7IZqEuLvg/view?usp=drive_link,do_2143197351532134401301
FMPS_C012,انشطة التفتح التكنولوجي,FMPS_C012_V05,"arabic;english,french",https://drive.google.com/file/d/1U-vgKC1_BvCW_A0G6UiGFUKSbGJTR4VW/view?usp=drive_link,do_2143197352930181121302
FMPS_C013,التربية النفسية الحركية,FMPS_C013_V01,"arabic;english,french",https://drive.google.com/file/d/1bMiE9r6uxR9esKa0NiGqOa7d4amGWl5i/view?usp=drive_link,do_2143197354397859841303
FMPS_C013,أهداف التربية النفسية الحركية,FMPS_C013_V02,"arabic;english,french",https://drive.google.com/file/d/1o7aq7IlZcB9z95u12JRLtIuiR-Ut9mj6/view?usp=drive_link,do_2143197355838177281304
FMPS_C013,لعبة القط والفأر,FMPS_C013_V03,"arabic;english,french",https://drive.google.com/file/d/1JpScTCyG21R1DrvSXM4BRhl4TPTzKzLJ/view?usp=drive_link,do_2143197357201162241305
FMPS_C013,لعبة متاهة الصلصال,FMPS_C013_V04,"arabic;english,french",https://drive.google.com/file/d/1k38PrlRPcmL7eOsimmPbF0u7IkktUA9e/view?usp=drive_link,do_2143197358713896961306
FMPS_C013,لعبة الثعلب الهارب,FMPS_C013_V05,"arabic;english,french",https://drive.google.com/file/d/1PkfPZztuLYmzB1iR6m3A0LYS3Er3vpET/view?usp=drive_link,do_2143197360278487041307
FMPS_C013,لعبة كرة الأصدقاء,FMPS_C013_V06,"arabic;english,french",https://drive.google.com/file/d/18rhSlGZ2nehSHVfntym0umBtxUxcn_9-/view?usp=drive_link,do_2143197361958092801308
FMPS_C014,النمو الاجتماعي العاطفي في مرحلة التعليم الأولي,FMPS_C014_V01,"arabic;english,french",https://drive.google.com/file/d/1Hb6XA-XeInL--EeH-99LVRlD5BftKLPX/view?usp=drive_link,do_2143197363396034561309
FMPS_C014,أهمية العواطف في التعلم ونمو الطفل,FMPS_C014_V02,"arabic;english,french",https://drive.google.com/file/d/11K6lXzLbLZiMiEKR0IgGlB3LKfvcJi3C/view?usp=drive_link,do_2143197365175336961310
FMPS_C014,الذكاء العاطفي في مرحلة التعليم الأولي,FMPS_C014_V03,"arabic;english,french",https://drive.google.com/file/d/15gaVGhDVBUj9j_pwMFUPEYKltzOUiqTW/view?usp=drive_link,do_2143197367483924481311
FMPS_C014,تقييم التطور الاجتماعي والعاطفي في مرحلة التعليم الأولي,FMPS_C014_V04,"arabic;english,french",https://drive.google.com/file/d/11kwFh6j7NSRR-QgrRsGFUSs0WR5uLqV7/view?usp=drive_link,do_2143197369905233921312
FMPS_C014,الإجراءات والتدخلات في التعلم الاجتماعي العاطفي,FMPS_C014_V05,"arabic;english,french",https://drive.google.com/file/d/1UqNEQlPnPhRwF6GGiMFEOGoQ-QGfpfNE/view?usp=drive_link,do_2143197371850833921313
FMPS_C015,المقدمة,FMPS_C015_V01,"arabic;english,french",https://drive.google.com/file/d/1egmeWMYBydsODwQ56VCApVU9i6kEOk1e/view?usp=drive_link,do_2143197373698621441314
FMPS_C015,جوانب الهوية المهنية,FMPS_C015_V02,"arabic;english,french",https://drive.google.com/file/d/1B2WxCsJ11za-FY-b3roRKvkWZ48SW1jU/view?usp=drive_link,do_2143197382588825601315
FMPS_C015,مكونات الهوية المهنية,FMPS_C015_V03,"arabic;english,french",https://drive.google.com/file/d/1vYXCvuiE67FXGKAWrM1K_gZBua0XUYiE/view?usp=drive_link,do_2143197384999403521316
FMPS_C015,مراحل تكوين المهارة,FMPS_C015_V04,"arabic;english,french",https://drive.google.com/file/d/1PHTgzJXSnE6-5ES11GnBgIXKGMrCrXca/view?usp=drive_link,do_2143197389117440001317
FMPS_C015,أهم مهارات مربي التعليم الأولي,FMPS_C015_V05,"arabic;english,french",https://drive.google.com/file/d/1Wh3lvLT7OVkbaw6gZwVnB0ThBNa3yKya/view?usp=drive_link,do_2143197391579791361318
FMPS_C015,كيف يمكن للمربي تطوير مهارته,FMPS_C015_V06,"arabic;english,french",https://drive.google.com/file/d/1tGtR7BCHZic5ebksjzuUvby-94NrMw2w/view?usp=drive_link,do_2143197396423475201319
FMPS_C015,أهم أهداف تطوير الهوية المهنية للمربي,FMPS_C015_V07,"arabic;english,french",https://drive.google.com/file/d/1nXKykU5GUZTJwtxZYhEc5cOug_xJduo0/view?usp=drive_link,do_2143197399739760641320
FMPS_C015,نصائح لتطوير الهوية المهنية,FMPS_C015_V09,"arabic;english,french",https://drive.google.com/file/d/10KB0QFn-T5QWAhPb-_1jIvIxCmpw3ZN9/view?usp=drive_link,do_2143197403014922241321
FMPS_C016,التعلم المتبادل,FMPS_C016_V01,"arabic;english,french",https://drive.google.com/file/d/18vkwjNQfnRZhty9nK-F8e4mnGnu0R5wV/view?usp=drive_link,do_2143197405677895681322
FMPS_C016,التعلم عن طريق البرهنة,FMPS_C016_V02,"arabic;english,french",https://drive.google.com/file/d/1oexgxMNrvnlsKTophjkK7vgLMhXd5CQi/view?usp=drive_link,do_2143197407212011521323
FMPS_C016,التعلم عبر السياق,FMPS_C016_V03,"arabic;english,french",https://drive.google.com/file/d/1alWV203F80OUXgdpcOTNQIOzTgqzpGVD/view?usp=drive_link,do_2143197408642662401324
FMPS_C016,التعلم العفوي,FMPS_C016_V04,"arabic;english,french",https://drive.google.com/file/d/1BE4VP_RTmRRCQQazv2_eVBHyghVHhUxn/view?usp=drive_link,do_2143197410032271361325
FMPS_C018,مفهوم التربية البيئية,FMPS_C018_V01,"arabic;english,french",https://drive.google.com/file/d/1CvfOMXmwK_FTgA3hLDlS5rrLHjNDEJai/view?usp=drive_link,do_2143197411488972801326
FMPS_C018,أهمية التربية البيئية و أهدافها,FMPS_C018_V02,"arabic;english,french",https://drive.google.com/file/d/15haJYhJ2M_cvfnXreggDcKfmDpecAWJ5/view?usp=drive_link,do_2143197413126307841327
FMPS_C018,استثمار التربية البيئية في قسم التعليم الأولي,FMPS_C018_V03,"arabic;english,french",https://drive.google.com/file/d/1dtI9zw8y04Dc0QvAAUVvpVHZfow571eD/view?usp=drive_link,do_2143197415094517761328
FMPS_C018,أنشطة تطبيقية مساهمة في تبني سلوكيات بيئية سليمة لدى الاطفال,FMPS_C018_V04,"arabic;english,french",https://drive.google.com/file/d/17s2iB0AuVB02C-HvvXvdHJDG9pTP8F7d/view?usp=drive_link,do_2143197416989573121330
FMPS_C018,أنشطة حول التربية البيئية,FMPS_C018_V05,"arabic;english,french",https://drive.google.com/file/d/1x8ZF25cKY_DtR78slQEqV3P3bj6qDSpq/view?usp=drive_link,do_2143197419035033601333
FMPS_C018,الانشطة التربوية المساهمة في تكوين السلوكيات السليمة,FMPS_C018_V06,"arabic;english,french",https://drive.google.com/file/d/1GJXSsaDpjTVzQMGdWfuasYGNjj-qIxeR/view?usp=drive_link,do_2143197421031505921336
FMPS_C019,التعرف على عملية التقويم في مرحلة التعليم الاولي,FMPS_C019_V01,"arabic;english,french",https://drive.google.com/file/d/1H-0cBhqbB5MX42AT2fXXnRoOy2IXbwd1/view?usp=drive_link,do_2143197422904360961339
FMPS_C019,اهمية التقويم في مرحلة التعليم الاولي,FMPS_C019_V02,"arabic;english,french",https://drive.google.com/file/d/1DYb3LDfipShwqaTxxL6aVcPVp3vLmboH/view?usp=drive_link,do_2143197424287006721341
FMPS_C019,مقاربة التقويم في مرحلة التعليم الاولي,FMPS_C019_V03,"arabic;english,french",https://drive.google.com/file/d/1YQVyPJ59cu89XENz0waXZykgtElP_D_8/view?usp=drive_link,do_2143197425712250881343
FMPS_C020,التعزيز الايجابي,FMPS_C020_V01,"arabic;english,french",https://drive.google.com/file/d/1P67YqLK-221TRWfiiP5nvpT9JpcPjO3f/view?usp=drive_link,do_2143197427196313601345
FMPS_C020,اشكال التعزيز الايجابي,FMPS_C020_V02,"arabic;english,french",https://drive.google.com/file/d/12h0xvwfhoARL777iKjczd2YOchXyqWEk/view?usp=drive_link,do_2143197428479426561348
FMPS_C020,انواع التعزيز الايجابي التربوي,FMPS_C020_V03,"arabic;english,french",https://drive.google.com/file/d/1s3EJWIbTSfX52E-pdh4EgO1nXurYJ8tu/view?usp=drive_link,do_2143197429859205121350
FMPS_C020,انواع التعزيز الايجابي التربوي,FMPS_C020_V04,"arabic;english,french",https://drive.google.com/file/d/1LgCFv0yVgfBnknroMFdDfOEVFv35aIzh/view?usp=drive_link,do_2143197431250698241352
FMPS_C020,العوامل المؤثرة في فعاليات المعززات التربوية,FMPS_C020_V05,"arabic;english,french",https://drive.google.com/file/d/1x33EeNLWS34KeC6PRt6I2xIU-9dBjV3h/view?usp=drive_link,do_2143197432645959681354
FMPS_C020,التعزيز الايجابي الاجتماعي,FMPS_C020_V06,"arabic;english,french",https://drive.google.com/file/d/1LgBV5KXAGOBox8rKgmPOXdqB8e8yNSOL/view?usp=drive_link,do_2143197434067025921357
FMPS_C020,خلاصة عامة,FMPS_C020_V07,"arabic;english,french",https://drive.google.com/file/d/1XQKP6qjyZ8NHRojstENQhLCgPTpy-HPN/view?usp=drive_link,do_2143197435300003841359
FMPS_C021,العنف التربوي الاعتيادي,FMPS_C021_V01,"arabic;english,french",https://drive.google.com/file/d/1or2OyBfJgHaUiiwXYUAez3tcELiOUThZ/view?usp=drive_link,do_2143197436532899841361
FMPS_C021,اشكال العنف التربوي,FMPS_C021_V02,"arabic;english,french",https://drive.google.com/file/d/1wIWn1_W86UDA_X6f6PXOact-hEv94WRj/view?usp=drive_link,do_2143197437783244801363
FMPS_C021,بعض الاثار السلبية للعنف التربوي الاعتيادي على الطفل,FMPS_C021_V03,"arabic;english,french",https://drive.google.com/file/d/1w42BdW14rok6k19hwoSHo0uy1E9oI083/view?usp=drive_link,do_2143197439123292161365
